"Filename","LineNumber","Path"
"build_error.log","47","D:\CODING\diamond-kms\build_error.log"
"build_error.log","73","D:\CODING\diamond-kms\build_error.log"
"build_error.log","87","D:\CODING\diamond-kms\build_error.log"
"build_error.log","111","D:\CODING\diamond-kms\build_error.log"
"build_error.log","151","D:\CODING\diamond-kms\build_error.log"
"build_error.log","280","D:\CODING\diamond-kms\build_error.log"
"build_error.log","306","D:\CODING\diamond-kms\build_error.log"
"build_error.log","322","D:\CODING\diamond-kms\build_error.log"
"build_error.log","350","D:\CODING\diamond-kms\build_error.log"
"build_error.log","421","D:\CODING\diamond-kms\build_error.log"
"build_error.log","450","D:\CODING\diamond-kms\build_error.log"
"build_error.log","467","D:\CODING\diamond-kms\build_error.log"
"build_error.log","494","D:\CODING\diamond-kms\build_error.log"
"build_error.log","518","D:\CODING\diamond-kms\build_error.log"
"build_error.log","543","D:\CODING\diamond-kms\build_error.log"
"build_error.log","557","D:\CODING\diamond-kms\build_error.log"
"build_error.log","581","D:\CODING\diamond-kms\build_error.log"
"build_error_2.log","144","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","170","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","186","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","214","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","285","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","314","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","331","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","358","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","382","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","407","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","421","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","445","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","506","D:\CODING\diamond-kms\build_error_2.log"
"build_error_2.log","529","D:\CODING\diamond-kms\build_error_2.log"
"build_error_3.log","144","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","170","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","186","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","214","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","285","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","314","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","331","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","358","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","382","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","407","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","421","D:\CODING\diamond-kms\build_error_3.log"
"build_error_3.log","445","D:\CODING\diamond-kms\build_error_3.log"
"build_error_4.log","87","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","111","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","125","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","151","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","214","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","237","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","250","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","273","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","295","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","317","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","329","D:\CODING\diamond-kms\build_error_4.log"
"build_error_4.log","350","D:\CODING\diamond-kms\build_error_4.log"
"log.txt","300","D:\CODING\diamond-kms\log.txt"
"log.txt","304","D:\CODING\diamond-kms\log.txt"
"log.txt","312","D:\CODING\diamond-kms\log.txt"
"log.txt","316","D:\CODING\diamond-kms\log.txt"
"log.txt","335","D:\CODING\diamond-kms\log.txt"
"log.txt","339","D:\CODING\diamond-kms\log.txt"
"log.txt","347","D:\CODING\diamond-kms\log.txt"
"log.txt","351","D:\CODING\diamond-kms\log.txt"
"14.pack.gz","19934","D:\CODING\diamond-kms\.next\cache\webpack\server-development\14.pack.gz"
"pglite.wasm","5775","D:\CODING\diamond-kms\node_modules\@electric-sql\pglite\dist\pglite.wasm"
"pglite.wasm","71990","D:\CODING\diamond-kms\node_modules\@electric-sql\pglite\dist\pglite.wasm"
"pglite.wasm","141634","D:\CODING\diamond-kms\node_modules\@electric-sql\pglite\dist\pglite.wasm"
"pg_dump.wasm","6793","D:\CODING\diamond-kms\node_modules\@electric-sql\pglite-tools\dist\pg_dump.wasm"
"ffmpeg.exe","161446","D:\CODING\diamond-kms\node_modules\@ffmpeg-installer\win32-x64\ffmpeg.exe"
"ffmpeg.exe","219466","D:\CODING\diamond-kms\node_modules\@ffmpeg-installer\win32-x64\ffmpeg.exe"
"ffprobe.exe","200737","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"ffprobe.exe","219710","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"ffprobe.exe","259808","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"ffprobe.exe","282090","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"ffprobe.exe","282791","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"ffprobe.exe","282831","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"ffprobe.exe","283002","D:\CODING\diamond-kms\node_modules\@ffprobe-installer\win32-x64\ffprobe.exe"
"libvips-42.dll","60344","D:\CODING\diamond-kms\node_modules\@img\sharp-win32-x64\lib\libvips-42.dll"
"libvips-42.dll","81834","D:\CODING\diamond-kms\node_modules\@img\sharp-win32-x64\lib\libvips-42.dll"
"libvips-42.dll","87574","D:\CODING\diamond-kms\node_modules\@img\sharp-win32-x64\lib\libvips-42.dll"
"skia.win32-x64-msvc.node","142113","D:\CODING\diamond-kms\node_modules\@napi-rs\.canvas-win32-x64-msvc-Per7kz7P\skia.win32-x64-msvc.node"
"skia.win32-x64-msvc.node","142310","D:\CODING\diamond-kms\node_modules\@napi-rs\.canvas-win32-x64-msvc-Per7kz7P\skia.win32-x64-msvc.node"
